job_title,salary_estimate,job_description,rating,company_name,location,job_age,size,founded,type_of_ownership,industry,sector,revenue,competitors,date_scrapped,salary_description,hourly,annually,salary,currency,min_salary,max_salary,avg_salary,older_than_30_days,job_fam,company_age,python_yn,r_yn,spark_yn,aws_yn,pytorch_yn,tf_yn,ml_yn,pbi_tableau_yn,stats_yn,sql_yn,experience_level,job_simp,country
Business Analyst/Data Analyst,BHD 2K (Employer est.),"Total 4 - 6 years of experience.
5+years of Knowledge in Banking and Finance, Financial accounting.
5+ years of expertise in writing complex SQL Query, Stored Procedures and functions.
5+ Hands on with SAS platform Tools like SAS DI / SAS Enterprise Guide / SAS Information Map / Base SAS.
Support Data Management team in organizing data for financial/regulatory reports, data mapping and performing UAT.
Coordination and Interaction with the finance business partner to understand data issues, ensure proper communication to data engineers and work towards the resolution.
Contribute to data warehouse design and components, relational database management systems, and database design solution.
Develop SQL Server T-SQL procedures/functions for batch processing as well as reports, in line with user requirements. Total 4 - 6 years of experience. 5+years of Knowledge in Banking and Finance, Financial accounting. 5+ years of expertise in writing complex SQL Query, Stored Procedures and functions. 5+ Hands on with SAS platform Tools like SAS DI / SAS Enterprise Guide / SAS Information Map / Base SAS. Support Data Management team in organizing data for financial/regulatory reports, data mapping and performing UAT. Coordination and Interaction with the finance business partner to understand data issues, ensure proper communication to data engineers and work towards the resolution. Contribute to data warehouse design and components, relational database management systems, and database design solution. Develop SQL Server T-SQL procedures/functions for batch processing as well as reports, in line with user requirements. Job Type: Full-time Salary: Up to BD1,600.000 per month Ability to commute/relocate: Manama: Reliably commute or willing to relocate with an employer-provided relocation package (Required)",-1,Unity Infotech Solutions,Manama,30d+,-1,-1,-1,-1,-1,-1,-1,2023-02-22,-1,0,0,BHD 2K ,bhd,19520.0,19520.0,19520.0,1,da,-1,0,0,0,0,0,0,0,0,0,1,other,analyst,BH
QA Analyst,BHD 400 (Employer est.),"About the role: QA Analyst is a member of the testing and quality assurance division of the Business Solutions function. The job holder is responsible for verifying that BFC’s business applications operate and are designed to perform in line with specifications and business requirements by running test cycles based on pre- prepared test cases and procedures. The QA Analyst provides detailed test results with accurate estimates and reports of test progress for evaluating new developments and changes made to existing systems. Your Responsibilities: Prepare test plans that test cases and test scripts to test each software component and demonstrate the business condition under test and the expected results.
Provide estimates and feedback to the QA Manager for project scheduling purposes.
Test all projects according to business requirements and complete all test-related tasks on time.
Ensure high quality and accuracy are maintained through software releases.
Prepare and maintain test plans for use on automated testing tools.
Report test results and records problems and issues into the issues log.
Monitor and update issues log reports as needed including issues report closure.
Assist in the automation of relevant test procedures.
Assist in the review of test processes as they are developed.
Demonstrates the ability to analyze problems and complete detailed reports.
Demonstrate strong analytical skills to find the root cause of system bugs and report clearly.
Able to methodically produce the steps which exhibit bugs in the product and be able to reproduce and communicate these steps.
Shows initiative in gaining in-depth experience technologies relevant to testing of BFC products.
Shows initiative in gaining theoretical knowledge in software testing.
Adapt to the changing needs of a project and meet deadlines. Prepare test plans that test cases and test scripts to test each software component and demonstrate the business condition under test and the expected results. Provide estimates and feedback to the QA Manager for project scheduling purposes. Test all projects according to business requirements and complete all test-related tasks on time. Ensure high quality and accuracy are maintained through software releases. Prepare and maintain test plans for use on automated testing tools. Report test results and records problems and issues into the issues log. Monitor and update issues log reports as needed including issues report closure. Assist in the automation of relevant test procedures. Assist in the review of test processes as they are developed. Demonstrates the ability to analyze problems and complete detailed reports. Demonstrate strong analytical skills to find the root cause of system bugs and report clearly. Able to methodically produce the steps which exhibit bugs in the product and be able to reproduce and communicate these steps. Shows initiative in gaining in-depth experience technologies relevant to testing of BFC products. Shows initiative in gaining theoretical knowledge in software testing. Adapt to the changing needs of a project and meet deadlines. About You University degree in Computer Science or similar field.
Minimum 2 years’ experience of testing Windows/Web applications produced using VB, C#, University degree in Computer Science or similar field. Minimum 2 years’ experience of testing Windows/Web applications produced using VB, C#, Access, SQL Server. Sufficient knowledge/experience working with Microsoft Office tools and operating systems.
Sufficient Knowledge of relational database concepts and technical data manipulation techniques including the use of SQL.
Sufficient experience with networking and/or communications protocols.
Sufficient experience with the Internet, Intranet, Extranet, and client/server architectures.
Familiar with testing methodologies and the defect reporting process.
Strong communication skills, both in writing and orally.
Works well in a team environment and alone. Sufficient knowledge/experience working with Microsoft Office tools and operating systems. Sufficient Knowledge of relational database concepts and technical data manipulation techniques including the use of SQL. Sufficient experience with networking and/or communications protocols. Sufficient experience with the Internet, Intranet, Extranet, and client/server architectures. Familiar with testing methodologies and the defect reporting process. Strong communication skills, both in writing and orally. Works well in a team environment and alone. Job Type: Full-time Salary: BD400.000 per month",-1,Bahrain Financing Company,Manama,30d+,-1,-1,-1,-1,-1,-1,-1,2023-02-22,-1,0,0,BHD 400 ,bhd,3904.0,3904.0,3904.0,1,da,-1,0,0,0,0,0,0,0,0,0,1,other,analyst,BH
Machine Learning Engineer,BHD 1K - BHD 2K (Employer est.),"WalletHub, the #1 Personal Finance App in the US and one of Forbes Top 100 Best StartUp Employers for both 2020 and 2021, is rapidly growing and looking for a highly experienced and motivated Senior Machine Learning Engineer for a full-time, permanent position. Senior Machine Learning Engineer Qualifications At least 4 years experience in Python and MySQL (or any relational database)
Min. 2 years of experience as a Data Scientist
Experience with databases
Experience in machine learning frameworks and libraries
Machine learning concepts and techniques: Regularization, Boosting, Random Forests, Decision Trees, Bayesian models, Neural networks, Support Vector Machines (SVM)
Experience with the whole ETL data cycle (extract, validate, transform, clean, aggregate, audit, archive)
Computer Science or Mathematics or Physics degree
Excellent communication and analytical skills
Willingness to work hard (50 hrs per week)
Very good English At least 4 years experience in Python and MySQL (or any relational database) Min. 2 years of experience as a Data Scientist Experience with databases Experience in machine learning frameworks and libraries Machine learning concepts and techniques: Regularization, Boosting, Random Forests, Decision Trees, Bayesian models, Neural networks, Support Vector Machines (SVM) Experience with the whole ETL data cycle (extract, validate, transform, clean, aggregate, audit, archive) Computer Science or Mathematics or Physics degree Excellent communication and analytical skills Willingness to work hard (50 hrs per week) Very good English Nice to have but not required Experience with Apache Spark
Natural Language Processing (tokenization, tagging, sentiment analysis, entity recognition, summarization) Experience with Apache Spark Natural Language Processing (tokenization, tagging, sentiment analysis, entity recognition, summarization) Responsibilities Modeling complex problems, discovering insights and identifying opportunities through the use of statistical, algorithmic, mining and visualization techniques
Participating in the areas of architecture, design, implementation, and testing
Proposing innovative ways to look at problems by using data mining approaches on the set of information available
Designing experiments, testing hypotheses, and building models
Conducting advanced data analysis and designing highly complex algorithm
Applying advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple real-time decision systems Modeling complex problems, discovering insights and identifying opportunities through the use of statistical, algorithmic, mining and visualization techniques Participating in the areas of architecture, design, implementation, and testing Proposing innovative ways to look at problems by using data mining approaches on the set of information available Designing experiments, testing hypotheses, and building models Conducting advanced data analysis and designing highly complex algorithm Applying advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple real-time decision systems Compensation Very competitive salary based on prior experience and qualifications
Potential for stock options after the first year
100% remote position
Raise and advancement opportunities based on periodic evaluations
Visa sponsorship (after 18 months with the company, based on performance, in case you will be working from outside the US). Very competitive salary based on prior experience and qualifications Potential for stock options after the first year 100% remote position Raise and advancement opportunities based on periodic evaluations Visa sponsorship (after 18 months with the company, based on performance, in case you will be working from outside the US). Notes Expected work schedule is 50 hours/week, Monday to Friday. This position requires a full overlap with EST business hours (8AM - 7PM ET, including 1 hr break). Although we appreciate your interest in working with us, due to the high number of applications we receive, we will only be able to reply to successful applicants. More about WalletHub WalletHub, the #1 Personal Finance App in the US and one of Forbes’ Top 100 Best StartUp Employers for both 2020 and 2021, is seeking hardworking, like-minded individuals to help us disrupt personal finance and make a tangible difference in people's everyday lives. More specifically, we are harnessing the power of data analytics and artificial intelligence to build the brain of a smart financial advisor, whose services we’re offering to everyone for free. The WalletHub brain enables users to make better financial decisions in a fraction of the time with three unique features: 1) Customized Credit-Improvement Tips: WalletHub identifies improvement opportunities and guides you through the necessary corrections. 1) Customized Credit-Improvement Tips 2) Personalized Money-Saving Advice: WalletHub’s savings brain constantly scours the market for load-lightening opportunities, bringing you only the best deals. 2) Personalized Money-Saving Advice 3) Wallet Surveillance: Personal finance isn’t as scary with 24/7 credit monitoring providing backup, notifying you of important credit-report changes. 3) Wallet Surveillance WalletHub’s initial focus was in the credit card space, and we quickly became the go-to credit card resource for consumers and industry professionals alike. Not only did the nonprofit group Consumer Action rate WalletHub as the best credit card website, but our industry research and expert opinions are featured in the national media far more often than any other company in the space. In addition to the valuable intelligence the brain provides, WalletHub is the first service to offer free credit scores and full credit reports that are updated on a daily basis absent of user interaction, rather than weekly or monthly and only when a user logs in. Some other services hang their hats on free credit scores and reports, yet they’re still inferior to what WalletHub considers minor pieces to a much larger puzzle. Job Type: Full-time Pay: BD1,243.000 - BD2,186.000 per month",4.2,WalletHub,Manama,23d,51 to 200 Employees,2012,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,-1,2023-02-22,-1,0,0,BHD 1K - BHD 2K ,bhd,9760.0,19520.0,14640.0,0,ml,11,1,0,1,0,0,0,1,0,1,1,other,machine learning engineer,BH
Data Analytics,-1,"Please Note : Candidate should be available to Join Immediate or on short notice Position :Data Analytics Industry : Telecommunication Duration : Permanent Location : Kuwait City Work Schedule : 5 Days a week & 8 hours a day Job Description Graduate and above, Fluent in English (Read, Write and speak) To analyse customer base and behaviour to find out Action Oriented new insights on customer base. Telecommunication- experienced in market Intelligence or prepaid Marketing function · Strong experience in Telco CVM, Big Data and Machine Learning experience Strong experience in Telco CVM, Big Data and Machine Learning experience · Exceptional SQL preferably in an Oracle environment Exceptional SQL preferably in an Oracle environment · Highly skilled in SQL, Query writing, reporting , Qlicksense Highly skilled in SQL, Query writing, reporting , Qlicksense Highly Skilled in excel/Spreadsheet, Access, data Base management. Must have experience in Data analytics/reporting for Marketing department in telco environment SQL, Database, Qliksense Interested Candidates can share Cv's on r.deeksha@ brunel.net Whatsapp +965 97285272 Job Type: Full-time Salary: KD100.000 - KD750.000 per month Ability to commute/relocate: Kuwait City: Reliably commute or planning to relocate before starting work (Required) Application Deadline: 22/12/2022",3.8,Brunel,Kuwait City,30d+,10000+ Employees,1975,Company - Public,Staffing & Subcontracting,Human Resources & Staffing,$1 to $5 billion (USD),-1,2023-02-22,KD100.000 - KD750.000 per month,0,0,KD100.000 - KD750.000 per month,kd,1200.0,9000.0,5100.0,1,da,48,0,0,0,0,0,0,1,0,0,1,other,other,KW
Information System Analyst and Consultants,OMR 1K (Employer est.),"Attend Mega Canada Job fair on 20th November. Send CV & book your slot on WhatsApp +96895125614. Limited seats T&C* Are you looking for Canada PR with family, tough nobody giving you exact solution?, Canada Govt announced many program with Job offer / LMIA, we have many Canadian companies, those are willing to hire professional from UAE / Gulf Countries. So meet us & WhatsApp CV for assessment on +96895125614. A Golden chance for changing a life for you , your family & your future generation. Today you may be eligible but there is no guarantee in future you will be able to even apply for the same. We will review your profile, Kindly meet or discuss regarding job+ resettlement in Canada, many professionals required. We are fastest & biggest consultancy firm in the Oman &UAE. We are giving services for resettlement & overseas Job for Canada. Canada is looking professional people like you for fulfilling the manpower need of many companies. Also they are giving best salary in the world with family resettlement. Advantage of Canada: - Best income with employment, free education of child, free medical for whole family, old age pension & awesome standard of life. If you are interested to settle with family or alone then visit & apply it asap, Salary would be $7000 to $10000 approx. after resettling in Canada. Kindly send updated CV by WhatsApp or email for assessment or checking of your eligibility. If selected, we will revert you within 48 hours. Kindly book appointment between 10:00am-7pm Friday 20th November. Location-306, Bin Ham(City Season Hotel) Building, Next to KM Hypermarket Al-Khuwair, Muscat, Oman Thank you, Regard Can Axis Immigration Consultants Oman Information systems business analysts and consultants Confer with clients to identify and document requirements
Conduct business and technical studies
Design, develop, integrate, test and implement information systems business solutions
Provide advice on information systems strategy, policy, management, security and service delivery. Confer with clients to identify and document requirements Conduct business and technical studies Design, develop, integrate, test and implement information systems business solutions Provide advice on information systems strategy, policy, management, security and service delivery. Systems security analysts Confer with clients to identify and document requirements, assess physical and technical security risks to data, software and hardware
Develop policies, procedures and contingency plans to minimize the effects of security breaches. Confer with clients to identify and document requirements, assess physical and technical security risks to data, software and hardware Develop policies, procedures and contingency plans to minimize the effects of security breaches. Information systems quality assurance analysts Develop and implement policies and procedures throughout the software development life cycle to maximize the efficiency, effectiveness and overall quality of software products and information systems. Systems auditors Conduct independent third-party reviews to assess quality assurance practices, software products and information systems.
A bachelor's degree in computer science, computer systems engineering, software engineering, business administration or a related discipline or completion of a college program in computer science is usually required.
Experience as a computer programmer is usually required.
Certification or training provided by software vendors may be required by some employers. Conduct independent third-party reviews to assess quality assurance practices, software products and information systems. A bachelor's degree in computer science, computer systems engineering, software engineering, business administration or a related discipline or completion of a college program in computer science is usually required. Experience as a computer programmer is usually required. Certification or training provided by software vendors may be required by some employers. Employment Type Full-time Job Type: Full-time Salary: From RO1,000.000 per month",-1,Can Axis Management & Immigration,Muscat,30d+,-1,-1,-1,-1,-1,-1,-1,2023-02-22,-1,0,0,OMR 1K ,omr,9570.0,9570.0,9570.0,1,da,-1,0,0,0,0,0,0,0,0,0,0,other,analyst,OM
Data Analyst,QAR 4K (Employer est.),"We are looking for a passionate data analyst certified in Excel Software. The successful candidate will turn data into information and insights. Responsibilities: · Interpret data, analyze results using statistical techniques, and provide ongoing reports · Identify, analyze, and interpret trends or patterns in complex data sets · Filter and “clean” data · Work with management to prioritize business and information needs Requirements: · Excellent knowledge of Excel / ( relevant certification is a plus) Excel / ( relevant certification is a plus) · Familiar with different formulas: Pivot table, VLOOKUP, COUNTIF, SUMIF... ... · Adept at queries, report writing and presenting findings on charts, graphs, power point · BS in Mathematics, Economics, Computer Science, Information Management or Statistics · Fresh graduated are welcome to apply · Candidate should be available in Qatar Job Types: Full-time, Permanent Salary: From QAR4,000.00 per month Ability to commute/relocate: Doha: Reliably commute or planning to relocate before starting work (Required) Experience: using excel: 3 years (Required) License/Certification: Excel certificate -Advanced level (Required)",-1,SkipCash,Doha,4d,-1,-1,-1,-1,-1,-1,-1,2023-02-22,-1,0,0,QAR 4K ,qar,4040.0,4040.0,4040.0,0,da,-1,0,0,0,0,0,0,0,0,1,0,other,analyst,QA
Market Research Analyst,QAR 5K - QAR 8K (Employer est.),"Job Summary: The Market Research Analyst will research, compile, and analyze information on products and market conditions to identify potential new markets, sales opportunities, and the most effective methods of marketing specified products. Duties/Responsibilities: Identifies and defines the objective of an assigned marketing research project; determines the best methods to use to meet those objectives. Drafts questionnaires, polls, surveys, and other data collection resources. Researches and compiles data related to current product market, customer demographics and interest, and factors influencing product demand; analyzes results to identify ways of maximizing sales and market penetration of current products. Compiles data related to competitors’ products such as pricing, sales, and marketing or distribution methodology. Summarizes and analyzes data; makes recommendations related to research findings. Reports findings, complete with graphs illustrating data and written text explaining complex findings. Identifies potential new products or markets through research. Forecasts and tracks industry marketing and sales trends based on collected data. Delivers reports and presentations of findings to management and/or executive leadership. Performs other related duties as assigned. DESIGNATION Market Research Analyst SALARY Qr.5000 – Qr.8000 REQUIREMENT 02 EXPERIENCE 04 Years Minimum LOCATION Qatar PREFERENCE Experience in Related section REQUIREMENT ANNOUNCEMENT FOR ANSAR GROUP Required Skills/Abilities: Excellent verbal and written communication skills. Excellent organizational skills and attention to detail. Superior research and analytical skills. Ability to translate complex concepts and methodologies into easily understood language. Proficient with Microsoft Office Suite or related software. Education and Experience: Bachelor’s degree in Marketing Research, Statistics, Math, or related field required; MBA preferred. Some related experience preferred. Job Type: Full-time Salary: QAR5,000.00 - QAR8,000.00 per month Ability to commute/relocate: Doha: Reliably commute or planning to relocate before starting work (Required)",-1,Ansar Gallery,Doha,3d,-1,-1,-1,-1,-1,-1,-1,2023-02-22,-1,0,0,QAR 5K - QAR 8K ,qar,5050.0,8080.0,6565.0,0,da,-1,0,0,0,0,0,0,0,0,1,0,other,analyst,QA
MIS & Data Analyst,QAR 7K - QAR 7K (Employer est.),"We are looking to hire a qualified MIS & Data Analyst who can join our dynamic team. Job Description Participate in business analysis activities to collect required reports and dashboards requirements.
Review SLA time to time and make the required changes in consultation with the management.
Convert business requirements into specifications used to implement the required reports and dashboards, potentially created from multiple data sources.
Provide MIS-like annual statistical reports.
Administer support as needed to ensure the availability and performance of the reports and dashboards created for all users. Participate in business analysis activities to collect required reports and dashboards requirements. Review SLA time to time and make the required changes in consultation with the management. Convert business requirements into specifications used to implement the required reports and dashboards, potentially created from multiple data sources. Provide MIS-like annual statistical reports. Administer support as needed to ensure the availability and performance of the reports and dashboards created for all users. Job Qualifications Candidates must have a Bachelor's Degree.
Min. 2 years of hands-on experience in creating dashboard.
Must have an expert-level knowledge in MS Excel (V -Lookup, Pivot, Formulas).
Candidates with transferable visa with valid QID or under family sponsorship are preferred.
Locally available in Qatar and can start immediately. Candidates must have a Bachelor's Degree. Min. 2 years of hands-on experience in creating dashboard. Must have an expert-level knowledge in MS Excel (V -Lookup, Pivot, Formulas). Candidates with transferable visa with valid QID or under family sponsorship are preferred. Locally available in Qatar and can start immediately. Job Type: Full-time Salary: QAR6,500.00 - QAR7,000.00 per month Education: Bachelor's (Required) Experience: MIS/Data Analysis: 2 years (Required)
MS Excel: 2 years (Required) MIS/Data Analysis: 2 years (Required) MS Excel: 2 years (Required)",3.6,Vistas Global,Doha,30d+,501 to 1000 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,2023-02-22,-1,0,0,QAR 7K - QAR 7K ,qar,7070.0,7070.0,7070.0,1,da,-1,0,0,0,0,0,0,0,0,1,0,other,analyst,QA
Market Analyst,QAR 5K (Employer est.),"Premium Capital Consultants is a Qatar based Management Consultancy Firm backed by one of the Qatar’s oldest business houses. Primary focus of the firm is to offer Business Consultancy programs to Startups and SME Sector. We are looking for a Market Analyst, He Should research analysts study market conditions to examine potential sales of a product or service. Main Duties · Monitor and forecast marketing and sales trends · Measure the effectiveness of marketing programs and strategies · Devise and evaluate methods for collecting data, such as surveys, questionnaires, and opinion polls · Gather data on consumers, competitors, and market conditions · Analyze data using statistical software · Convert complex data and findings into understandable tables, graphs, and written reports · Prepare reports and present results to clients and management. Qualification: · Suitably qualified with a Bachelors · A passion for Market Research in various businesses field · Preferred to have 2 or more years in Market Research · Should be familiar with Methodologies Field Research · Should be able to complete projects within short span of time · Should be good in preparation of Power Point Presentation Job Type: Full-time Salary: From QAR5,000.00 per month Ability to commute/relocate: Doha: Reliably commute or planning to relocate before starting work (Required) Application Deadline: 25/02/2023",-1,Premium Capital Consultants,Doha,3d,-1,-1,-1,-1,-1,-1,-1,2023-02-22,-1,0,0,QAR 5K ,qar,5050.0,5050.0,5050.0,0,da,-1,0,0,0,0,0,0,0,0,1,0,other,analyst,QA
Investment Analyst - Qatar,QAR 25K - QAR 38K (Employer est.),"Investment Analyst - Qatar Qatari Holding Group
Location: Doha, Qatar
Exceptional Expatriate Salary Package + Benefits Qatari Holding Group Location: Doha, Qatar Exceptional Expatriate Salary Package + Benefits Reference #979 Our client is a leading Qatari Holding Group with diversified global business interests within the Hospitality, Real Estate, Industrial, Investment Management and Financial Services sectors. Our client now seeks to recruit an Investment Analyst to join the firm’s growing investment management team to work across the firm’s investment portfolio including stocks, bonds and currencies and deliver prompt and accurate analysis to the executive team. Reporting to the Investment Manager , this role is responsible for the following: Conduct extensive timely and accurate research across all asset classes (Equities, Fixed Income, and Structure Products) for the business development team and conduct extensive fundamental and technical analysis on major currencies.
Preparation and presentation of Investment Proposals to meet management guidelines.
Preparation of Daily Market Update Reports and submit periodic reports to keep management abreast of market developments.
Preparation of due diligence reports for identified opportunities and present to the Investment Manager.
Monitor all news, earnings and corporate developments of the existing portfolio and watch lists.
Monitor existing asset allocation and suggest rebalancing strategies.
Execution of trades in a precise, professional and timely manner.
Follow up on trade status, market orders and update the portfolio accordingly.
Database management by entering, verifying and backing up of data.
Compliance of works to company rules, regulations and procedures.
Update of Event and Economic Calendars and suggest actions to benefit from market trends to senior management. Conduct extensive timely and accurate research across all asset classes (Equities, Fixed Income, and Structure Products) for the business development team and conduct extensive fundamental and technical analysis on major currencies. Preparation and presentation of Investment Proposals to meet management guidelines. Preparation of Daily Market Update Reports and submit periodic reports to keep management abreast of market developments. Preparation of due diligence reports for identified opportunities and present to the Investment Manager. Monitor all news, earnings and corporate developments of the existing portfolio and watch lists. Monitor existing asset allocation and suggest rebalancing strategies. Execution of trades in a precise, professional and timely manner. Follow up on trade status, market orders and update the portfolio accordingly. Database management by entering, verifying and backing up of data. Compliance of works to company rules, regulations and procedures. Update of Event and Economic Calendars and suggest actions to benefit from market trends to senior management. The attributes we seek for this role comprise: BSc / BA in Business, Finance, Economics, Mathematics, Statistics, Accounting or comparable is essential with a Masters being highly regarded.
5+ years of international experience in portfolio management, trading, banking and investment funds is required with candidates have strong capabilities in fundamental and technical analysis.
Proficiency in Bloomberg, Excel, Visio and Power Point is required.
The proactive organiser we week will be detailed oriented, be a team player and maintain a high level of professionalism in their role.
Candidates must be proficient in English with Arabic proficiency being highly regarded.
Experience in working across the UK and European markets would be highly regarded. BSc / BA in Business, Finance, Economics, Mathematics, Statistics, Accounting or comparable is essential with a Masters being highly regarded. 5+ years of international experience in portfolio management, trading, banking and investment funds is required with candidates have strong capabilities in fundamental and technical analysis. Proficiency in Bloomberg, Excel, Visio and Power Point is required. The proactive organiser we week will be detailed oriented, be a team player and maintain a high level of professionalism in their role. Candidates must be proficient in English with Arabic proficiency being highly regarded. Experience in working across the UK and European markets would be highly regarded. An excellent tax-free salary, with stable employment, will be offered to attract suitable candidates to this role. To apply, forward your resume in word format quoting reference #979. Job Type: Full-time Salary: QAR25,000.00 - QAR38,000.00 per month",-1,1Recruit International Pty Ltd,Doha,30d+,-1,-1,-1,-1,-1,-1,-1,2023-02-22,-1,0,0,QAR 25K - QAR 38K ,qar,25250.0,38380.0,31815.0,1,da,-1,0,0,0,0,0,0,0,0,1,0,other,analyst,QA
